run,name,N_incl,far_incl,ul90_incl,N_excl,far_excl,ul90_excl,ratio
O3a,GW190412,3,0.007404229769551866,0.013087185904193062,3,0.007404229769551866,0.013087185904193062,1.0
O3a,GW190828_063405,4,0.010819947561978915,0.017048409801228723,4,0.010819947561978915,0.017048409801228723,1.0
O3a,GW190521_074359,12,0.03245984268593675,0.03868830492518655,12,0.03245984268593675,0.03868830492518655,1.0
O3a,GW190513_205428,8,0.019744612718804976,0.025427568853446172,8,0.019744612718804976,0.025427568853446172,1.0
O3a,GW190706_222641,12,0.029616919078207463,0.03529987521284866,12,0.029616919078207463,0.03529987521284866,1.0
O3a,GW190727_060333,36,0.09737952805781024,0.10360799029706004,36,0.09737952805781024,0.10360799029706004,1.0
O3a,GW190519_153544,23,0.05676576156656431,0.0624487177012055,23,0.05676576156656431,0.0624487177012055,1.0
O3a,GW190408_181802,33,0.08926456738632606,0.09549302962557586,33,0.08926456738632606,0.09549302962557586,1.0
O3a,GW190602_175927,21,0.0568047247003893,0.06303318693963911,21,0.0568047247003893,0.06303318693963911,1.0
O3a,GW190521,188,0.4639983988919169,0.4696813550265581,187,0.4615303223020663,0.46721327843670746,1.0053475935828877
O3b,GW200129_065458,0,0.0,0.008006526854189603,0,0.0,0.008006526854189603,inf
O3b,GW200224_222234,1,0.0034771905724173494,0.011483717426606952,1,0.0034771905724173494,0.011483717426606952,1.0
O3b,GW200311_115853,5,0.01882492214208433,0.02749411881219058,5,0.01882492214208433,0.02749411881219058,1.0
O3b,GW191222_033537,7,0.02635489099891806,0.03502408766902431,7,0.02635489099891806,0.03502408766902431,1.0
O4a,GW231226_101520,0,0.0,0.0046485020983151396,0,0.0,0.0046485020983151396,inf
O4a,GW231123_135430,2,0.003464987075715969,0.007454200708584697,2,0.003464987075715969,0.007454200708584697,1.0
O4a,GW230927_153832,1,0.0017324935378579846,0.005721707170726713,1,0.0017324935378579846,0.005721707170726713,1.0
O4a,GW230919_215712,4,0.006929974151431938,0.010919187784300666,4,0.006929974151431938,0.010919187784300666,1.0
O4a,GW230627_015337,4,0.006929974151431938,0.010919187784300666,4,0.006929974151431938,0.010919187784300666,1.0
O4a,GW231028_153006,5,0.010094094459737945,0.014742596558053087,5,0.010094094459737945,0.014742596558053087,1.0
O4a,GW230628_231200,5,0.008662467689289922,0.012651681322158652,5,0.008662467689289922,0.012651681322158652,1.0
O4a,GW231102_071736,6,0.010394961227147908,0.014384174860016636,6,0.010394961227147908,0.014384174860016636,1.0
O4a,GW230924_124453,11,0.02220700781142348,0.02685550990973862,11,0.02220700781142348,0.02685550990973862,1.0
O4a,GW230601_224134,11,0.02220700781142348,0.02685550990973862,11,0.02220700781142348,0.02685550990973862,1.0
O4a,GW230914_111401,10,0.017324935378579844,0.021314149011448576,10,0.017324935378579844,0.021314149011448576,1.0
O4a,GW231206_233901,12,0.020789922454295815,0.024779136087164543,12,0.020789922454295815,0.024779136087164543,1.0
O4a,GW230922_040658,20,0.03464987075715969,0.03863908439002842,20,0.03464987075715969,0.03863908439002842,1.0
O4a,GW230824_033047,24,0.04845165340674214,0.05310015550505728,20,0.04037637783895178,0.04502487993726692,1.2
O4a,GW230707_124047,140,0.2826346448726625,0.2872831469709776,98,0.19784425141086373,0.20249275350917886,1.4285714285714286
O4b,GW240621_195059,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf
O4b,GW240920_124024,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf
O4b,GW241127_061008,0,0.0,0.004426864067000331,0,0.0,0.004426864067000331,inf
O4b,GW250114_082203,0,0.0,0.003695687062785638,0,0.0,0.003695687062785638,inf
O4b,GW241129_021832,4,0.0064200662521220935,0.010115753314907732,4,0.0064200662521220935,0.010115753314907732,1.0
O4b,GW240615_113620,2,0.003845125428160377,0.008271989495160708,2,0.003845125428160377,0.008271989495160708,1.0
O4b,GW240925_005809,0,0.0,0.004426864067000331,0,0.0,0.004426864067000331,inf
O4b,GW241225_082815,5,0.008025082815152617,0.011720769877938256,5,0.008025082815152617,0.011720769877938256,1.0
O4b,GW250119_025138,10,0.016050165630305233,0.019745852693090874,8,0.012840132504244187,0.016535819567029826,1.25
O4b,GW241102_124058,6,0.01153537628448113,0.01596224035148146,6,0.01153537628448113,0.01596224035148146,1.0
O4b,GW241102_144729,13,0.02499331528304245,0.02942017935004278,13,0.02499331528304245,0.02942017935004278,1.0
O4b,GW240919_061559,8,0.012840132504244187,0.016535819567029826,8,0.012840132504244187,0.016535819567029826,1.0
O4b,GW240705_053215,8,0.012840132504244187,0.016535819567029826,8,0.012840132504244187,0.016535819567029826,1.0
O4b,GW250118_170523,14,0.02691587799712264,0.03134274206412297,14,0.02691587799712264,0.03134274206412297,1.0
O4b,GW240514_121713,30,0.0481504968909157,0.051846183953701344,28,0.04494046376485466,0.04863615082764029,1.0714285714285714
O4b,GW241130_034908,62,0.11919888827297168,0.123625752339972,48,0.09228301027584904,0.09670987434284938,1.2916666666666667
O4b,GW250108_152221,178,0.28569294821943314,0.2893886352822188,101,0.16210667286608285,0.1658023599288685,1.7623762376237624
O4b,GW241006_015333,145,0.2327274016394259,0.23642308870221151,113,0.18136687162244913,0.18506255868523477,1.2831858407079648
O4b,GW240406_062847,232,0.3723638426230814,0.37605952968586703,111,0.1781568384963881,0.18185252555917372,2.09009009009009
