run,name,gps,seg,net,loglr,cnn_hm,cnn_lm,channel,N_bg,livetime_yr,trials,far,far_lo90,far_hi90,far_ul90,ifar,mtot,snr_cat,cwb,source,far_asrun,detection_and_ul
O3a,GW190412,1239082262.0,o3a_1239069668,6.056729257472221,11.835906672934367,0.9994826316833496,0.9992274045944214,loglr,8,405.174,1.0,0.019744612718804976,0.009824975526937679,0.03562582104476996,0.032071943346990144,50.646726488972334,36.8,19.8,True,as-run,0.0789784508752199,True
O3a,GW190828_063405,1251009264.0,o3a_1250997649,6.680002907574762,12.813842026585814,0.9158557057380676,0.9999948740005493,loglr,18,369.688,1.0,0.04868976402890512,0.03147064117807753,0.07220088877666246,0.06696543967273033,20.538197708379546,57.2,16.5,True,as-run,0.19475905611562047,True
O3a,GW190521_074359,1242459857.0,o3a_1242451137,8.071061407498425,8.377401216052748,0.9976122379302979,0.9999706745147705,net-sigma,24,369.688,1.0,0.0649196853718735,0.04476493277366994,0.09129980838094583,0.08543311711539195,15.40364828128466,76.3,25.9,True,as-run,0.259678741487494,True
O3a,GW190513_205428,1241816087.0,o3a_1241810678,5.8766582804367875,10.225474739259099,0.9772786498069763,0.9999717473983765,net-sigma,29,405.174,1.0,0.07157422110566804,0.05120266075427314,0.09759014793516296,0.09180875408547823,13.971510755578574,54.4,12.5,False,as-run,0.28629688442267215,True
O3a,GW190706_222641,1246487219.0,o3a_1246453144,8.191744248443005,7.724124469546448,0.9989314675331116,0.9996910095214844,net-sigma,29,405.174,1.0,0.07157422110566804,0.05120266075427314,0.09759014793516296,0.09180875408547823,13.971510755578574,112.6,13.4,True,as-run,0.28629688442267215,True
O3a,GW190727_060333,1248242632.0,o3a_1248227242,6.478930681795264,4.517012975616218,0.8711285591125488,0.9999091625213623,net-sigma,28,369.688,1.0,0.07573963293385241,0.05383096710830508,0.10384147550906558,0.09759571561228497,13.203127098243993,68.8,11.7,True,as-run,0.30295853173540965,True
O3a,GW190519_153544,1242315362.0,o3a_1242314977,7.536681380883927,6.791003820742484,0.9988252520561218,0.9998996257781982,net-sigma,32,405.174,1.0,0.0789784508752199,0.057499897395835886,0.10608398780218883,0.10006259504162741,12.661681622243083,105.6,15.9,True,as-run,0.3159138035008796,True
O3a,GW190408_181802,1238782700.0,o3a_1238775984,5.834948867134494,7.868652014068195,0.9880913496017456,0.999207079410553,net-sigma,47,369.688,1.0,0.12713438385325226,0.0982448097946997,0.16212465967695674,0.15436103363568487,7.8656927393794005,43.4,14.6,True,as-run,0.5085375354130091,True
O3a,GW190602_175927,1243533585.0,o3a_1243518141,8.83911472742998,9.7628633585351,0.9290481209754944,0.9972857236862183,net-sigma,69,369.688,1.0,0.1866440954441363,0.15128581386275516,0.2280479154118147,0.21886994441084165,5.357790706533795,115.6,13.2,True,as-run,0.7465763817765452,True
O3a,GW190521,1242442967.0,o3a_1242437036,7.844324005601034,4.438853062126798,0.9914673566818237,0.980424165725708,net-sigma,186,405.174,1.0,0.45906224571221566,0.40513456979944706,0.5184121859384262,0.50527724672978,2.178353827482681,153.1,14.3,True,trials-promoted,1.8362489828488626,True
O3b,GW200129_065458,1264316116.0,o3b_1264297924,8.524378504960918,10.155168843092534,0.9996016621589661,0.9999991655349731,loglr,11,287.588,1.0,0.038249096296590845,0.02145081398785932,0.06331099690039674,0.05771483384004059,26.144408543558985,63.3,26.8,False,as-run,0.15299638518636338,True
O3b,GW200224_222234,1266618172.0,o3b_1266613720,10.109501535951637,11.813882151940515,0.9989442229270935,0.9999957084655762,loglr,12,287.588,1.0,0.04172628686900819,0.02407680647365239,0.06760551877755124,0.0618299619359979,23.965707831595736,72.3,20.0,True,as-run,0.16690514747603277,True
O3b,GW200311_115853,1267963151.0,o3b_1267931347,8.102358678184066,9.996203928333577,0.997379720211029,0.9997122883796692,loglr,15,265.605,1.0,0.05647476642625299,0.03481229031852348,0.08696033388804801,0.0801654510627623,17.707023211965648,61.9,17.8,True,as-run,0.22589906570501195,True
O3b,GW191222_033537,1261020955.0,o3b_1261013054,7.315017381069261,8.547590460884615,0.9812003970146179,0.999944806098938,loglr,18,265.605,1.0,0.06776971971150358,0.04380297531352765,0.10049409958961941,0.09320704602890202,14.75585267663804,79.0,12.5,True,as-run,0.27107887884601434,True
O4a,GW231226_101520,1387620938.0,o4a_1387618503,9.226849622648544,13.32356698759376,0.9999972581863403,0.9999940395355225,loglr,0,495.339,1.0,0.0,0.0,0.006047840909067897,0.004648502286053276,inf,75.0,34.7,True,as-run,0.0,True
O4a,GW231123_135430,1384782889.0,o4a_1384773767,9.142656931607267,7.106969992674142,0.9997846484184265,0.8524936437606812,net-sigma,3,577.203,1.0,0.005197480613573954,0.0014166451481732929,0.013433159829413824,0.011574413493584325,192.4009100463711,236.0,21.8,True,as-run,0.020789922454295815,True
O4a,GW230927_153832,1379864331.0,o4a_1379852881,5.802221481706707,8.997273325192623,0.9997454285621643,0.9999974966049194,loglr,4,577.203,1.0,0.006929974151431938,0.002367137793025564,0.015858412562309705,0.013848842302125068,144.30068253477833,38.3,20.3,True,as-run,0.027719896605727753,True
O4a,GW230919_215712,1379195850.0,o4a_1379194069,4.71463931221354,9.52284749270645,0.29608914256095886,0.9998792409896851,loglr,8,577.203,1.0,0.013859948302863877,0.006896749752430738,0.025007937352821207,0.022513253771663053,72.15034126738917,49.1,16.8,True,as-run,0.05543979321145551,True
O4a,GW230627_015337,1371866036.0,o4a_1371864268,6.232962506788301,9.20098343147454,0.014387549832463264,0.9998373985290527,loglr,10,577.203,1.0,0.017324935378579844,0.009399480310468564,0.0293869352136186,0.026691906270546076,57.72027301391134,14.22,28.7,True,as-run,0.06929974151431938,True
O4a,GW231028_153006,1382542224.0,o4a_1382535975,8.924402467298195,11.956173959754446,0.9850231409072876,0.9929969906806946,loglr,11,495.339,1.0,0.02220700781142348,0.012454108460393663,0.03675767374512926,0.03350860255579491,45.03083028977867,153.0,22.4,True,as-run,0.08882803124569393,True
O4a,GW230628_231200,1372029138.0,o4a_1372028581,6.831753367488193,4.576720999190542,0.7639290690422058,0.999945878982544,net-sigma,15,577.203,1.0,0.025987403067869768,0.01601920782451644,0.040015628052508564,0.03688889783379695,38.48018200927422,59.2,16.4,True,as-run,0.10394961227147907,True
O4a,GW231102_071736,1382944674.0,o4a_1382936357,7.230142980119811,8.412409992279175,0.9167575240135193,0.9982147216796875,loglr,15,577.203,1.0,0.025987403067869768,0.01601920782451644,0.040015628052508564,0.03688889783379695,38.48018200927422,102.0,15.6,True,as-run,0.10394961227147907,True
O4a,GW230924_124453,1379594712.0,o4a_1379593319,5.4277178386527405,7.9828894760853295,0.973280668258667,0.999842643737793,net-sigma,14,495.339,1.0,0.028263464487266247,0.017087156970104135,0.044184851239248944,0.040634810619200996,35.38136665625467,51.8,13.5,True,as-run,0.11305385794906499,True
O4a,GW230601_224134,1369694512.0,o4a_1369681145,6.900492094358205,8.032768230466385,0.9707295298576355,0.9977118968963623,loglr,22,495.339,1.0,0.04441401562284696,0.030067760737149972,0.06342081233022333,0.05919231234410351,22.515415144889335,107.0,13.4,True,as-run,0.17765606249138785,True
O4a,GW230914_111401,1378725260.0,o4a_1378706661,7.478837069185121,6.68877028723022,0.8262070417404175,0.991925060749054,loglr,27,577.203,1.0,0.04677732552216558,0.03301805074041567,0.06450794519055855,0.060566686082743494,21.377878894041235,96.0,17.2,True,as-run,0.18710930208866233,True
O4a,GW231206_233901,1385941159.0,o4a_1385939952,8.171316341835995,5.54886732720266,0.70390385389328,0.998071014881134,loglr,28,577.203,1.0,0.048509819060023565,0.034477728147039984,0.06650852390940445,0.06250823145023994,20.614383219254048,66.0,21.9,True,as-run,0.19403927624009426,True
O4a,GW230922_040658,1379390836.0,o4a_1379381016,5.614741764198217,5.405511332710168,0.2699042558670044,0.9798722863197327,loglr,42,577.203,1.0,0.07276472859003535,0.05533260508629192,0.09411588623924393,0.08937697218610513,13.742922146169365,125.0,12.5,True,as-run,0.2910589143601414,True
O4a,GW230824_033047,1376883066.0,o4a_1376866910,4.5871484639948505,7.415921876875393,0.3872773349285126,0.9803810715675354,loglr,49,495.339,1.0,0.09892212570543187,0.07688045203053728,0.12551210380234648,0.11961300437592481,10.10896190178705,88.0,11.1,True,as-run,0.39568850282172746,True
O4a,GW230707_124047,1372768865.0,o4a_1372746355,5.145694087587547,4.432012440264845,0.39394015073776245,0.9480850100517273,net-sigma,149,495.339,1.0,0.30080401490019076,0.26144992114777277,0.34460745097187373,0.3349104658756125,3.3244237126682243,82.0,11.9,True,trials-promoted,1.203216059600763,True
O4b,GW240621_195059,1403034677.0,o4b_1403027575,8.495686573111609,12.19363010381552,0.9999948740005493,0.9999746084213257,loglr,0,623.047,1.0,0.0,0.0,0.00480819991745924,0.0036956872120426218,inf,66.0,28.2,True,as-run,0.0,True
O4b,GW240920_124024,1410871243.0,o4b_1410843019,8.6642154270384,19.879339573637164,0.9998996257781982,0.9999936819076538,loglr,0,623.047,1.0,0.0,0.0,0.00480819991745924,0.0036956872120426218,inf,68.8,37.4,True,as-run,0.0,True
