run,name,total_mass_source,network_snr,far_min,p_astro,cwb_detected,madgrav,madgrav_asrun
O3a,GW190403_051519,106.6,8.0,7.7,0.61,False,False,False
O3a,GW190408_181802,43.4,14.7,1e-05,1.0,True,False,True
O3a,GW190412_053044,36.8,18.2,1e-05,1.0,True,True,True
O3a,GW190413_052954,58.0,8.5,0.82,0.93,False,False,False
O3a,GW190413_134308,81.3,8.9,0.18,0.99,False,False,False
O3a,GW190421_213856,73.6,10.5,0.0028,1.0,True,False,False
O3a,GW190425_081805,3.4,12.9,0.034,0.78,False,False,False
O3a,GW190426_190642,182.3,9.6,4.1,0.75,False,False,False
O3a,GW190503_185404,69.4,12.0,1e-05,1.0,True,False,False
O3a,GW190512_180714,35.8,12.2,1e-05,1.0,True,False,False
O3a,GW190513_205428,54.4,12.3,1.3000000000000001e-05,1.0,False,True,True
O3a,GW190514_065416,69.3,8.4,2.8,0.76,False,False,False
O3a,GW190517_055101,64.1,10.3,0.00035,1.0,True,False,False
O3a,GW190519_153544,105.6,12.4,1e-05,1.0,True,False,True
O3a,GW190521_030229,153.1,13.6,0.0013,1.0,True,False,False
O3a,GW190521_074359,76.3,22.2,1e-05,1.0,True,False,True
O3a,GW190527_092055,58.1,8.7,0.23,0.85,False,False,False
O3a,GW190602_175927,115.6,12.3,1e-05,1.0,True,False,True
O3a,GW190620_030421,92.7,10.9,0.011,0.99,False,False,False
O3a,GW190630_185205,59.4,15.2,1e-05,1.0,False,False,False
O3a,GW190701_203306,94.3,11.7,0.0057,1.0,True,False,False
O3a,GW190706_222641,112.6,12.5,5e-05,1.0,True,False,True
O3a,GW190707_093326,20.1,13.2,1e-05,1.0,False,False,False
O3a,GW190708_232457,31.4,13.1,0.00031,1.0,False,False,False
O3a,GW190719_215514,57.2,8.0,0.63,0.92,False,False,False
O3a,GW190720_000836,21.8,11.5,1e-05,1.0,False,False,False
O3a,GW190725_174728,18.3,9.1,0.46,0.96,False,False,False
O3a,GW190727_060333,68.8,12.1,1e-05,1.0,True,False,True
O3a,GW190728_064510,20.7,13.4,1e-05,1.0,False,False,False
O3a,GW190731_140936,70.7,8.5,0.33,0.83,False,False,False
O3a,GW190803_022701,65.0,9.1,0.073,0.97,False,False,False
