run,name,far,p_astro,p_astro_lo,p_astro_hi
O3a,GW190412,0.019744612718804976,0.9964,0.9945,0.9976
O3a,GW190828_063405,0.04868976402890512,0.9964,0.9945,0.9976
O3a,GW190521_074359,0.0649196853718735,0.9976,0.9971,0.9979
O3a,GW190513_205428,0.07157422110566804,0.9977,0.9970,0.9982
O3a,GW190706_222641,0.07157422110566804,0.9976,0.9971,0.9979
O3a,GW190727_060333,0.07573963293385241,0.9972,0.9968,0.9975
O3a,GW190519_153544,0.0789784508752199,0.9972,0.9968,0.9975
O3a,GW190408_181802,0.12713438385325226,0.9972,0.9968,0.9975
O3a,GW190602_175927,0.1866440954441363,0.9972,0.9968,0.9975
O3a,GW190521,0.45906224571221566,0.0002,0.0002,0.0002
O3b,GW200129_065458,0.038249096296590845,0.9980,0.9935,0.9990
O3b,GW200224_222234,0.04172628686900819,0.9980,0.9935,0.9990
O3b,GW200311_115853,0.05647476642625299,0.9945,0.9930,0.9954
O3b,GW191222_033537,0.06776971971150358,0.9962,0.9955,0.9965
O4a,GW231226_101520,0.0,0.9996,0.9992,0.9997
O4a,GW231123_135430,0.005197480613573954,0.9996,0.9992,0.9997
O4a,GW230927_153832,0.006929974151431938,0.9996,0.9992,0.9997
O4a,GW230919_215712,0.013859948302863877,0.9994,0.9991,0.9995
O4a,GW230627_015337,0.017324935378579844,0.9994,0.9991,0.9995
O4a,GW231028_153006,0.02220700781142348,0.9994,0.9991,0.9995
O4a,GW230628_231200,0.025987403067869768,0.9994,0.9991,0.9995
O4a,GW231102_071736,0.025987403067869768,0.9994,0.9991,0.9995
O4a,GW230924_124453,0.028263464487266247,0.9995,0.9994,0.9995
O4a,GW230601_224134,0.04441401562284696,0.9995,0.9994,0.9995
O4a,GW230914_111401,0.04677732552216558,0.9995,0.9994,0.9995
O4a,GW231206_233901,0.048509819060023565,0.9995,0.9994,0.9995
O4a,GW230922_040658,0.07276472859003535,0.9987,0.9985,0.9989
O4a,GW230824_033047,0.09892212570543187,0.9987,0.9985,0.9989
O4a,GW230707_124047,0.30080401490019076,0.9827,0.9729,0.9872
O4b,GW240621_195059,0.0,0.9997,0.9996,0.9998
O4b,GW240920_124024,0.0,0.9997,0.9996,0.9998
O4b,GW241127_061008,0.0,0.9997,0.9996,0.9998
O4b,GW250114_082203,0.0,0.9997,0.9996,0.9998
O4b,GW241129_021832,0.0016050165630305234,0.9997,0.9996,0.9997
O4b,GW240615_113620,0.0019225627140801885,0.9997,0.9996,0.9998
O4b,GW240925_005809,0.0019225627140801885,0.9997,0.9996,0.9998
O4b,GW241225_082815,0.0032100331260610467,0.9997,0.9996,0.9997
O4b,GW250119_025138,0.0064200662521220935,0.9996,0.9996,0.9997
O4b,GW241102_124058,0.02307075256896226,0.9997,0.9996,0.9997
O4b,GW241102_144729,0.03460612885344339,0.9996,0.9996,0.9997
O4b,GW240919_061559,0.03531036438667152,0.9996,0.9996,0.9997
O4b,GW240705_053215,0.03852039751273256,0.9996,0.9996,0.9997
O4b,GW250118_170523,0.055754318708325465,0.9991,0.9989,0.9992
O4b,GW240514_121713,0.11556119253819769,0.9991,0.9989,0.9992
O4b,GW241130_034908,0.15380501712641506,0.9954,0.9943,0.9962
O4b,GW250108_152221,0.171736772244266,0.9806,0.9739,0.9845
O4b,GW241006_015333,0.3418685279255015,0.9806,0.9739,0.9845
O4b,GW240406_062847,0.5874360620691715,0.9806,0.9739,0.9845
